source,channel,tradition,cohort,id,title,url,image_url,year,query,family_count
Wikimedia Commons,commons,alchemy,control,163095861,File:7 PVI 5. Planche pédagogique. - Oidium tuckeri.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_5._Planche_p%C3%A9dagogique._-_Oidium_tuckeri.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/18/7_PVI_5._Planche_p%C3%A9dagogique._-_Oidium_tuckeri.jpg/960px-7_PVI_5._Planche_p%C3%A9dagogique._-_Oidium_tuckeri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163098617,File:7 PVI 6. Planche pédagogique. - Hellebore helleborus niger.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_6._Planche_p%C3%A9dagogique._-_Hellebore_helleborus_niger.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/7_PVI_6._Planche_p%C3%A9dagogique._-_Hellebore_helleborus_niger.jpg/960px-7_PVI_6._Planche_p%C3%A9dagogique._-_Hellebore_helleborus_niger.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163098773,File:7 PVI 7. Planche pédagogique. - Vaucheria sessilis.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_7._Planche_p%C3%A9dagogique._-_Vaucheria_sessilis.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/7_PVI_7._Planche_p%C3%A9dagogique._-_Vaucheria_sessilis.jpg/960px-7_PVI_7._Planche_p%C3%A9dagogique._-_Vaucheria_sessilis.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163099013,File:7 PVI 9. Planche pédagogique. - Développement du puccinia graminis.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_9._Planche_p%C3%A9dagogique._-_D%C3%A9veloppement_du_puccinia_graminis.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c6/7_PVI_9._Planche_p%C3%A9dagogique._-_D%C3%A9veloppement_du_puccinia_graminis.jpg/960px-7_PVI_9._Planche_p%C3%A9dagogique._-_D%C3%A9veloppement_du_puccinia_graminis.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,59269974,File:A CLASS FOR ORGANIC CHEMISTRY HELD FOR KIBBUTZ MEMBERS AT GIVAT HAIM. שיעור כימיה בקיבוץ גבעת חיים.D16-064.jpg,https://commons.wikimedia.org/wiki/File:A_CLASS_FOR_ORGANIC_CHEMISTRY_HELD_FOR_KIBBUTZ_MEMBERS_AT_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-064.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/A_CLASS_FOR_ORGANIC_CHEMISTRY_HELD_FOR_KIBBUTZ_MEMBERS_AT_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-064.jpg/960px-A_CLASS_FOR_ORGANIC_CHEMISTRY_HELD_FOR_KIBBUTZ_MEMBERS_AT_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-064.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1939,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,59269971,File:A COURSE FOR ORGANIC CHEMISTRY HELD AT KIBBUTZ GIVAT HAIM. שיעור כימיה בקיבוץ גבעת חיים.D16-063.jpg,https://commons.wikimedia.org/wiki/File:A_COURSE_FOR_ORGANIC_CHEMISTRY_HELD_AT_KIBBUTZ_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-063.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/A_COURSE_FOR_ORGANIC_CHEMISTRY_HELD_AT_KIBBUTZ_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-063.jpg/960px-A_COURSE_FOR_ORGANIC_CHEMISTRY_HELD_AT_KIBBUTZ_GIVAT_HAIM._%D7%A9%D7%99%D7%A2%D7%95%D7%A8_%D7%9B%D7%99%D7%9E%D7%99%D7%94_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%92%D7%91%D7%A2%D7%AA_%D7%97%D7%99%D7%99%D7%9D.D16-063.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1939,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,35180398,File:A History of Hindu Chemistry Vol 1.djvu,https://commons.wikimedia.org/wiki/File:A_History_of_Hindu_Chemistry_Vol_1.djvu,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/A_History_of_Hindu_Chemistry_Vol_1.djvu/page1-960px-A_History_of_Hindu_Chemistry_Vol_1.djvu.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1903,historical chemistry,1
Wikimedia Commons,commons,alchemy,control,35201168,File:A History of Hindu Chemistry Vol 2.djvu,https://commons.wikimedia.org/wiki/File:A_History_of_Hindu_Chemistry_Vol_2.djvu,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/A_History_of_Hindu_Chemistry_Vol_2.djvu/page1-960px-A_History_of_Hindu_Chemistry_Vol_2.djvu.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1909,historical chemistry,1
Wikimedia Commons,commons,alchemy,control,94996091,File:A concise history of chemistry (IA concisehistoryof00hildrich).pdf,https://commons.wikimedia.org/wiki/File:A_concise_history_of_chemistry_(IA_concisehistoryof00hildrich).pdf,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/A_concise_history_of_chemistry_%28IA_concisehistoryof00hildrich%29.pdf/page1-500px-A_concise_history_of_chemistry_%28IA_concisehistoryof00hildrich%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1886,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,16678928,File:A dictionary of chemistry - Grove fuel cell.png,https://commons.wikimedia.org/wiki/File:A_dictionary_of_chemistry_-_Grove_fuel_cell.png,https://upload.wikimedia.org/wikipedia/commons/e/ea/A_dictionary_of_chemistry_-_Grove_fuel_cell.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,historical chemistry,0
